compute_flops,N_over_Nopt,parameters_N,training_tokens_D,predicted_loss
5e+23,3.019951720402016,91194016490.8245,913802643419.2416,1.950166614240958
5e+23,3.1622776601683795,95491858078.96684,872674749552.1656,1.9513672569720601
5e+23,3.311311214825911,99992250700.91112,833397915830.4315,1.9526172839112104
5e+23,3.467368504525315,104704740292.78654,795888830823.7793,1.9539168108248233
5e+23,3.630780547701014,109639322676.83215,760067932733.9777,1.955265963140115
5e+23,3.801893963205613,114806464763.87532,725859240633.5881,1.9566648759437353
5e+23,3.981071705534973,120217126755.05351,693190193300.2262,1.9581136939823494
5e+23,4.168693834703355,125882785389.87013,661991495304.482,1.9596125716651684
5e+23,4.365158322401658,131815458289.89764,632196970025.0248,1.9611616730684203
5e+23,4.57088189614875,138027729449.76447,603743419279.1145,1.9627611719417546
5e+23,4.786300923226383,144532775929.49423,576570489270.7858,1.9644112517165848
5e+23,5.011872336272722,151344395804.8173,550620542572.3523,1.966112105516356
5e+23,5.248074602497723,158477037434.73892,525838535867.697,1.967863936168739
5e+23,5.495408738576246,165945830108.44632,502171903198.0173,1.9696669562197497
5e+23,5.7543993733715695,173766616136.55865,479570444462.38074,1.9715213879497846
5e+23,6.025595860743578,181955984454.79266,457986218936.5784,1.9734274633915796
5e+23,6.309573444801933,190531305811.3191,437373443584.42255,1.975385424350082
5e+23,6.606934480075961,199510769612.4485,417688395945.7883,1.9773955224242385
5e+23,6.918309709189366,208913422504.80072,398889321395.4139,1.9794580190307005
5e+23,7.2443596007499025,218759208775.7961,380936344575.74194,1.9815731854294387
5e+23,7.58577575029184,229069012658.163,363791384815.94055,1.9837413027512758
5e+23,7.943282347242818,239864702628.19534,347418075357.6944,1.9859626620273318
5e+23,8.317637711026704,251169177791.72272,331781686216.435,1.988237564220384
5e+23,8.70963589956081,263006416456.18515,316849050514.38556,1.9905663202581425
5e+23,9.120108393559091,275401526991.8351,302588494129.17,1.9929492510684446
5e+23,9.549925860214355,288380801089.96094,288969768508.74805,1.9953866876163668
5e+23,10.000000000000005,301971769531.08636,275963986510.18475,1.9978789709432596
5e+23,10.47128548050899,316203260581.447,263543561126.14624,2.000426452207703
5e+23,10.964781961431857,331105461141.6112,251682146969.15652,2.003029492728393
5e+23,11.481536214968823,346709980776.93854,240354584389.5021,2.005688464028957
5e+23,12.022644346174125,363049918765.71094,229536846108.2381,2.0084037478847003
5e+23,12.589254117941667,380159934307.1359,219205986252.1107,2.0111757363712943
5e+23,13.182567385564068,398076320038.1566,209340091682.2825,2.014004831915404
5e+23,13.80384264602886,416837079015.0006,199918235513.6272,2.016891447347266
5e+23,14.454397707459272,436482005322.7552,190920432726.00153,2.0198360059552165
5e+23,15.13561248436208,457052768483.9617,182327597773.3358,2.0228389415421777
5e+23,15.848931924611133,478593001845.25476,174121504100.63416,2.0259006984841097
