compute_C_flops,hoffmann_N_opt,hoffmann_D_opt,hoffmann_compute_optimal_loss
2.0092330025650543e+23,20005751314.056644,1673879485140.2732,1.9730053874145268
2.3921470814626387e+23,21645517065.027596,1841911094320.4614,1.965525785661871
2.848035868435793e+23,23419685752.226597,2026810477993.577,1.958243863687998
3.39080668189406e+23,25339273674.3269,2230270899812.418,1.951154396977454
4.0370172585965494e+23,27416200077.80801,2454155600909.535,1.9442522990944722
4.8063808630643696e+23,29663361166.817913,2700514863007.095,1.937532618033637
5.72236765935022e+23,32094710179.231934,2971604784398.953,1.9309905326670005
6.812920690579594e+23,34725344026.123024,3269907940750.8926,1.9246213492850979
8.111308307896889e+23,37571597032.61293,3598156119925.7695,1.9184204982293798
9.657139052966039e+23,40651142362.16386,3959355339033.233,1.9123835306136487
1.1497569953977403e+24,43983101754.08571,4356813372804.526,1.906506115132143
1.368874509537082e+24,47588164255.64471,4794170045390.043,1.9007840349519836
1.62975083462064e+24,51488714686.01808,5275430562985.094,1.8952131846877467
1.9403442495579196e+24,55708972629.758934,5805002192535.527,1.8897895674560001
2.310129700083158e+24,60275142822.82096,6387734622418.031,1.8845092920076838
2.7503878409319346e+24,65215577864.93301,7028964374708.686,1.8793685699362785
3.2745491628777317e+24,70560954268.64566,7734563675756.095,1.8743637129597621
3.898603702549064e+24,76344462938.1879,8510994232604.108,1.869491130274401
4.6415888336127916e+24,82602015260.87212,9365366407735.936,1.8647473259784773
5.526170019854088e+24,89372466090.71864,10305504334046.727,1.8601288965641072
6.579332246575709e+24,96697855008.8749,11340017566352.842,1.8556325284753457
7.833203223083892e+24,104623667358.87134,12478379925603.688,1.8512549957308315
9.32603346883218e+24,113199116677.56367,13731016257833.564,1.846993157609262
1.1103363181676413e+25,122477450275.44362,15109397902369.86,1.8428439563960382
1.3219411484660287e+25,132516279863.75346,16626147743572.559,1.8388044151894671
1.573873043161898e+25,143377939281.36237,18295155808144.15,1.8348716357649404
1.8738174228603868e+25,155129871542.6211,20131706466620.77,1.8310427964955651
2.230924374408979e+25,167845047609.48447,22152618403925.51,1.8273151503277467
2.6560877829466732e+25,181602419488.17715,24376398640801.004,1.8236860228102794
3.1622776601683795e+25,196487410463.79495,26823412016610.73,1.8201528101755224
